metric	metric_value	metric_type
abox_axiom_count	0	single_value
abox_axiom_count_incl	362	single_value
annotation_property_count	10	single_value
annotation_property_count_incl	45	single_value
axiom_count	644	single_value
axiom_count_incl	13066	single_value
class_count	132	single_value
class_count_incl	1537	single_value
dataproperty_count	0	single_value
dataproperty_count_incl	12	single_value
datatypes_count	3	single_value
datatypes_count_incl	8	single_value
individual_count	0	single_value
individual_count_incl	350	single_value
logical_axiom_count	123	single_value
logical_axiom_count_incl	2769	single_value
obj_property_count	4	single_value
obj_property_count_incl	268	single_value
ontology_anno_count	8	single_value
ontology_iri	http://www.ontologyrepository.com/CommonCoreOntologies/Domain/CognitiveProcessOntology	single_value
ontology_version_iri	http://www.ontologyrepository.com/CommonCoreOntologies/Domain/2025-04-25/CognitiveProcessOntology	single_value
owl2	true	single_value
owl2_dl	true	single_value
owl2_el	false	single_value
owl2_ql	false	single_value
owl2_rl	false	single_value
rbox_axiom_count	0	single_value
rbox_axiom_count_incl	342	single_value
rdfs	false	single_value
rule_count	0	single_value
rule_count_incl	0	single_value
signature_entity_count	2220	single_value
signature_entity_count_incl	2220	single_value
tbox_axiom_count	123	single_value
tbox_axiom_count_incl	2065	single_value
tboxrbox_axiom_count	123	single_value
tboxrbox_axiom_count_incl	2407	single_value
valid_imports	https://www.commoncoreontologies.org/2024-11-06/CommonCoreOntologiesMerged	list_value
valid_imports_incl	https://www.commoncoreontologies.org/2024-11-06/CommonCoreOntologiesMerged	list_value
